[2026-06-27 14:49:32] APUESTA | Daniela | Partido 61 | Goles: 0-3 | Monto: 5
[2026-06-27 14:49:46] APUESTA | Daniela | Partido 62 | Goles: 0-0 | Monto: 2
[2026-06-27 15:05:48] APUESTA | Jorge | Partido 61 | Goles: 0-4 | Monto: 7
[2026-06-27 15:06:20] APUESTA | Jorge | Partido 62 | Goles: 2-3 | Monto: 3
[2026-06-27 15:06:24] APUESTA | Jorge | Partido 62 | Goles: 2-3 | Monto: 3
[2026-06-27 17:59:38] APUESTA | Daniel | Partido 63 | Goles: 1-2 | Monto: 5
[2026-06-27 18:14:44] APUESTA | Daniel | Partido 64 | Goles: 1-1 | Monto: 1
[2026-06-27 18:15:56] APUESTA | Daniela | Partido 63 | Goles: 1-2 | Monto: 2
[2026-06-27 18:16:56] APUESTA | Daniela | Partido 64 | Goles: 2-1 | Monto: 1
[2026-06-27 20:33:24] APUESTA | Daniela | Partido 65 | Goles: 0-3 | Monto: 10
[2026-06-27 20:33:57] APUESTA | Daniela | Partido 66 | Goles: 0-0 | Monto: 3
[2026-06-27 20:47:21] APUESTA | Daniel | Partido 65 | Goles: 0-4 | Monto: 10
[2026-06-27 20:47:27] APUESTA | Jorge | Partido 65 | Goles: 0-4 | Monto: 20
[2026-06-27 20:49:52] APUESTA | Jorge | Partido 65 | Goles: 0-4 | Monto: 31
[2026-06-27 20:50:04] APUESTA | Jorge | Partido 65 | Goles: 0-4 | Monto: 100
[2026-06-27 20:50:38] APUESTA | Jorge | Partido 66 | Goles: 0-0 | Monto: 5
[2026-06-28 11:31:20] APUESTA | Daniela | Partido 67 | Goles: 1-2 | Monto: 6
[2026-06-28 13:36:39] APUESTA | Daniel | Partido 67 | Goles: 1-2 | Monto: 20
[2026-06-28 13:53:44] APUESTA | Daniela | Partido 67 | Goles: 1-2 | Monto: 7
[2026-06-28 14:01:30] APUESTA | Ivan | Partido 68 | Goles: 3-0 | Monto: 22
[2026-06-29 09:06:47] APUESTA | Daniel | Partido 68 | Goles: 3-0 | Monto: 30
[2026-06-29 09:07:26] APUESTA | Daniel | Partido 68 | Goles: 3-0 | Monto: 50
[2026-06-29 09:10:45] APUESTA | Daniela | Partido 68 | Goles: 3-1 | Monto: 10
[2026-06-29 09:10:57] APUESTA | Daniela | Partido 69 | Goles: 3-0 | Monto: 12
[2026-06-29 09:11:16] APUESTA | Daniela | Partido 69 | Goles: 3-0 | Monto: 20
[2026-06-29 12:33:59] APUESTA | Ivan | Partido 69 | Goles: 2-0 | Monto: 20
[2026-06-29 14:05:59] APUESTA | Daniel | Partido 69 | Goles: 2-0 | Monto: 50
[2026-06-29 14:09:30] APUESTA | Daniela | Partido 69 | Goles: 3-0 | Monto: 60
[2026-06-29 14:09:50] APUESTA | Daniel | Partido 69 | Goles: 2-0 | Monto: 100
[2026-06-29 14:10:24] APUESTA | Daniel | Partido 69 | Goles: 2-0 | Monto: 100
[2026-06-29 14:16:37] APUESTA | Daniela | Partido 69 | Goles: 3-0 | Monto: 1
[2026-06-29 14:16:48] APUESTA | Daniela | Partido 69 | Goles: 3-0 | Monto: 1
[2026-06-29 14:16:49] APUESTA | Daniela | Partido 69 | Goles: 3-0 | Monto: 100
[2026-06-29 14:16:50] APUESTA | Daniela | Partido 69 | Goles: 3-0 | Monto: 100
[2026-06-29 14:58:02] APUESTA | Jorge | Partido 69 | Goles: 2-0 | Monto: 100
[2026-06-29 15:47:36] APUESTA | Jorge | Partido 70 | Goles: 3-1 | Monto: 1
[2026-06-29 15:47:41] APUESTA | Jorge | Partido 70 | Goles: 3-1 | Monto: 25
[2026-06-29 15:47:46] APUESTA | Jorge | Partido 70 | Goles: 3-1 | Monto: 25
[2026-06-29 15:47:48] APUESTA | Jorge | Partido 70 | Goles: 3-1 | Monto: 25
[2026-06-29 17:18:56] APUESTA | Ivan | Partido 70 | Goles: 2-1 | Monto: 20
[2026-06-29 19:51:37] APUESTA | Daniela | Partido 70 | Goles: 2-1 | Monto: 10
[2026-06-29 19:55:59] APUESTA | Daniel | Partido 70 | Goles: 2-0 | Monto: 20
[2026-06-29 19:56:03] APUESTA | Daniel | Partido 70 | Goles: 2-0 | Monto: 20
[2026-06-30 10:26:39] APUESTA | Jorge | Partido 71 | Goles: 2-1 | Monto: 10
[2026-06-30 10:34:04] APUESTA | Jorge | Partido 73 | Goles: 1-2 | Monto: 200
[2026-06-30 10:35:31] APUESTA | Jorge | Partido 74 | Goles: 3-2 | Monto: 100
[2026-06-30 10:37:07] APUESTA | Daniela | Partido 73 | Goles: 1-3 | Monto: 10
[2026-06-30 10:38:28] APUESTA | Daniela | Partido 72 | Goles: 2-1 | Monto: 7
[2026-06-30 10:44:50] APUESTA | Jorge | Partido 74 | Goles: 3-2 | Monto: 100
[2026-06-30 14:14:04] APUESTA | Ivan | Partido 72 | Goles: 3-1 | Monto: 20
[2026-06-30 14:14:54] APUESTA | Ivan | Partido 73 | Goles: 0-2 | Monto: 30
[2026-07-01 12:47:05] APUESTA | Ivan | Partido 75 | Goles: 1-2 | Monto: 20
[2026-07-01 12:49:47] APUESTA | Ivan | Partido 76 | Goles: 3-1 | Monto: 30
[2026-07-01 13:46:45] APUESTA | Jorge | Partido 75 | Goles: 2-1 | Monto: 25
[2026-07-01 13:46:46] APUESTA | Jorge | Partido 75 | Goles: 2-1 | Monto: 25
[2026-07-01 13:47:26] APUESTA | Jorge | Partido 76 | Goles: 2-1 | Monto: 25
[2026-07-01 13:49:51] APUESTA | Daniela | Partido 75 | Goles: 1-2 | Monto: 10
[2026-07-01 13:50:36] APUESTA | Daniela | Partido 76 | Goles: 2-1 | Monto: 10
[2026-07-01 14:14:27] APUESTA | Daniel | Partido 75 | Goles: 2-0 | Monto: 20
[2026-07-01 14:30:24] APUESTA | Daniela | Partido 75 | Goles: 1-2 | Monto: 5
[2026-07-02 09:10:56] APUESTA | Daniela | Partido 77 | Goles: 3-1 | Monto: 15
[2026-07-02 10:28:40] APUESTA | Daniel | Partido 77 | Goles: 3-0 | Monto: 60
[2026-07-02 10:46:51] APUESTA | Ivan | Partido 77 | Goles: 2-1 | Monto: 10
[2026-07-02 10:47:19] APUESTA | Ivan | Partido 78 | Goles: 2-1 | Monto: 10
[2026-07-02 10:47:54] APUESTA | Ivan | Partido 79 | Goles: 1-2 | Monto: 10
[2026-07-02 11:18:16] APUESTA | Jorge | Partido 77 | Goles: 3-1 | Monto: 500
[2026-07-02 11:18:56] APUESTA | Jorge | Partido 78 | Goles: 3-1 | Monto: 400
[2026-07-02 11:19:44] APUESTA | Jorge | Partido 79 | Goles: 3-2 | Monto: 23
[2026-07-02 16:07:34] APUESTA | Daniela | Partido 78 | Goles: 2-1 | Monto: 15
[2026-07-02 16:46:10] APUESTA | Daniel | Partido 78 | Goles: 2-1 | Monto: 50
[2026-07-02 16:46:19] APUESTA | Daniel | Partido 78 | Goles: 2-1 | Monto: 50
[2026-07-02 16:46:21] APUESTA | Daniel | Partido 78 | Goles: 2-1 | Monto: 50
[2026-07-02 16:46:32] APUESTA | Daniel | Partido 79 | Goles: 1-0 | Monto: 30
[2026-07-02 19:27:54] APUESTA | Ivan Andres | Partido 79 | Goles: 1-0 | Monto: 10
[2026-07-02 19:28:31] APUESTA | Ivan Andres | Partido 81 | Goles: 2-0 | Monto: 1
[2026-07-02 19:28:40] APUESTA | Ivan Andres | Partido 81 | Goles: 2-0 | Monto: 10
[2026-07-02 21:16:57] APUESTA | Jorge | Partido 79 | Goles: 3-2 | Monto: 500
[2026-07-02 21:42:05] APUESTA | Daniela | Partido 79 | Goles: 2-1 | Monto: 20
[2026-07-03 10:42:23] APUESTA | Daniel | Partido 80 | Goles: 0-2 | Monto: 30
[2026-07-03 10:42:33] APUESTA | Daniela | Partido 80 | Goles: 0-1 | Monto: 30
[2026-07-03 10:42:43] APUESTA | Daniel | Partido 81 | Goles: 2-0 | Monto: 50
[2026-07-03 10:43:10] APUESTA | Daniel | Partido 82 | Goles: 2-2 | Penales: 0-0 | Monto: 40
[2026-07-03 10:43:40] APUESTA | Daniel | Partido 82 | Goles: 2-1 | Monto: 40
[2026-07-03 10:44:25] APUESTA | Daniel | Partido 82 | Goles: 2-1 | Monto: 100
[2026-07-03 10:44:27] APUESTA | Daniel | Partido 81 | Goles: 2-0 | Monto: 200
[2026-07-03 10:44:30] APUESTA | Daniel | Partido 80 | Goles: 0-2 | Monto: 100
[2026-07-03 14:44:34] APUESTA | Jorge | Partido 81 | Goles: 5-0 | Monto: 5000
[2026-07-03 14:45:01] APUESTA | Jorge | Partido 82 | Goles: 3-2 | Monto: 123
[2026-07-03 16:45:31] APUESTA | Daniela | Partido 81 | Goles: 2-0 | Monto: 80
[2026-07-03 17:01:15] APUESTA | Ivan | Partido 82 | Goles: 2-1 | Monto: 10
[2026-07-04 11:13:48] APUESTA | Daniel | Partido 83 | Goles: 0-3 | Monto: 500
[2026-07-04 11:14:08] APUESTA | Daniela | Partido 83 | Goles: 1-2 | Monto: 100
[2026-07-04 11:27:17] APUESTA | Daniela | Partido 83 | Goles: 1-2 | Monto: 50
[2026-07-04 11:27:30] APUESTA | Daniela | Partido 84 | Goles: 1-3 | Monto: 150
[2026-07-04 13:26:22] APUESTA | Jorge | Partido 84 | Goles: 0-3 | Monto: 20000
[2026-07-04 15:01:03] APUESTA | Daniela | Partido 84 | Goles: 1-3 | Monto: 500
[2026-07-04 15:07:12] APUESTA | Daniel | Partido 84 | Goles: 1-3 | Monto: 5000
[2026-07-04 15:16:17] APUESTA | Jorge | Partido 84 | Goles: 0-3 | Monto: 20738
[2026-07-05 12:52:00] APUESTA | Daniela | Partido 86 | Goles: 0-3 | Monto: 1000
[2026-07-05 12:52:45] APUESTA | Daniela | Partido 85 | Goles: 1-1 | Penales: 4-3 | Monto: 300
[2026-07-05 12:52:53] APUESTA | Daniela | Partido 86 | Goles: 0-3 | Monto: 1000
[2026-07-05 12:53:25] APUESTA | Daniela | Partido 86 | Goles: 0-3 | Monto: 1500
[2026-07-05 14:33:43] APUESTA | Daniel | Partido 85 | Goles: 3-2 | Monto: 2000
[2026-07-05 14:43:49] APUESTA | Jorge | Partido 85 | Goles: 2-3 | Monto: 952
[2026-07-05 14:44:52] APUESTA | Jorge | Partido 85 | Goles: 3-2 | Monto: 952
[2026-07-05 18:06:51] APUESTA | Daniel | Partido 86 | Goles: 0-2 | Monto: 1000
[2026-07-05 18:06:54] APUESTA | Daniel | Partido 86 | Goles: 0-2 | Monto: 1000
[2026-07-05 18:07:39] APUESTA | Daniel | Partido 86 | Goles: 0-2 | Monto: 5000
[2026-07-05 18:07:41] APUESTA | Daniel | Partido 86 | Goles: 0-2 | Monto: 5000
[2026-07-05 18:55:19] APUESTA | Jorge | Partido 86 | Goles: 2-4 | Monto: 80000
[2026-07-06 11:43:45] APUESTA | Daniel | Partido 87 | Goles: 1-3 | Monto: 10000
[2026-07-06 12:07:29] APUESTA | Daniela | Partido 87 | Goles: 2-3 | Monto: 600
[2026-07-06 13:07:35] APUESTA | Daniela | Partido 87 | Goles: 2-3 | Monto: 2500
[2026-07-06 13:26:34] APUESTA | Jorge | Partido 87 | Goles: 3-2 | Monto: 322000
[2026-07-06 13:59:32] APUESTA | Jorge | Partido 87 | Goles: 3-2 | Monto: 300000
[2026-07-06 18:27:07] APUESTA | Jorge | Partido 88 | Goles: 1-2 | Monto: 20000
[2026-07-06 23:05:57] APUESTA | Jorge | Partido 89 | Goles: 4-1 | Monto: 80000
[2026-07-07 10:41:49] APUESTA | Daniela | Partido 89 | Goles: 2-0 | Monto: 15000
[2026-07-07 10:51:17] APUESTA | Daniel | Partido 89 | Goles: 2-1 | Monto: 30000
